ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,
100272,3.36E-09,0,0.002771583,0.000628587,9.65E-05,
101537,0,0,0,0,0,
101360,0,0,0,0,0,
100353,0,0,0.012588027,0,0,
101416,0,0,0.06437217,3.89E-15,2.22E-16,
101594,0,0,7.33E-15,0,0,
100064,0,0,2.47E-08,0,0,
101375,0,0,0.749301402,0,0,
100890,0,0,0.106392833,0,0,
100850,0,0,0,0,0,
101055,0,0,0.047282709,4.90E-05,1.38E-07,
100968,0,0,0.048659069,0,0,
100685,0,0,0.91112502,0.002087526,1.65E-05,
101572,0,0,0.090721384,0,0,
100147,0,0,1.18E-06,0,0,
100137,0,0,0.338381774,0,0,
101753,0,0,0.955115991,2.75E-12,0,
101527,0,0,0.311243473,5.84E-11,0,
101403,0,0,0.190906077,1.11E-16,0,
100238,4.21E-14,0,0.074498954,0,0,
100800,0,0,0.647067426,0,0,
100650,0,0,0.003701368,0,0,
101519,0,0,8.34E-13,0,0,
101583,1.96E-08,0,0.565014009,1.20E-06,5.65E-11,
101266,0.00107017,0,0.446200403,0.000245928,7.61E-07,
100014,0,0,0,0,0,
101342,0.005611069,0,0.411332773,2.52E-05,2.00E-08,
100991,0,0,0.147095046,0,0,
101642,0,0,5.97E-05,0,0,
100858,4.75E-07,1.83E-10,0.586195443,0.006413662,0.00026498,
100764,0,0,0.079877347,8.43E-08,3.71E-12,
100951,8.31E-07,0,5.55E-16,3.33E-16,0,
100779,0,0,3.33E-16,0,0,
101767,0,0,0.009936766,0,0,
101371,0.014598585,0,0.009405124,0.059267159,0.007173986,
100252,0,0,0,0,0,
101763,0,0,0,0,0,
100028,0,0,0.296422356,6.27E-08,6.20E-11,
101008,0,0,0.396006425,7.45E-06,5.43E-09,
100350,0,0,0.26614741,6.39E-06,6.16E-10,
100097,1.04E-09,0,0.88810706,0.115265888,0.049862981,
101272,0,0,0,0,0,
100593,0,0,0,0,0,
100179,0,0,0,0,0,
101620,0,0,0.47759814,0,0,
101566,0,0,5.85E-08,0,0,
101667,0,0,0.314099376,0,0,
100242,1.22E-15,0,2.82E-07,0,0,
