ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,GMM
101597,0,0,0,0,0,0.444943251
101533,0,0,0,0,0,0
101556,0,0,0.371423281,0.000627096,2.02E-06,0.240055206
100840,2.66E-15,0,0.23722089,2.08E-05,1.64E-08,0.505018645
100549,0,0,0.072831255,0.000559233,0.000162258,0.031029101
101645,0,0,0.003243873,0,0,0.25259907
100320,3.15E-13,0,0.794174242,0.025936854,0.001484178,0.598160652
101301,3.12E-14,0,0.125062424,1.11E-16,0,0.943834313
100839,0,0,1.25E-13,0,0,0.044697134
101470,0,0,0.141688518,4.96E-06,6.76E-10,0.658109068
100503,0,0,0.025316779,2.03E-05,5.94E-09,0.085170418
101294,2.27E-07,0,0.577912655,0.025452513,0.001514649,0.532952125
101389,5.88E-15,0,0.487866905,2.06E-08,1.44E-12,0.491335181
100912,0,0,0.556809082,1.29E-05,1.07E-08,0.779450906
100287,0,0,0.037052783,0,0,0.442961565
101522,0,0,8.63E-10,0,0,0.801426514
101396,0,0,0.254318059,0.006918428,0.000248856,0.193101804
101151,1.48E-05,1.70E-10,0.771063666,0.038622042,0.004906046,0.295295793
100023,0,0,0,0,0,0.065199126
101135,0,0,0,0,0,0
101711,0,0,0,0,0,0
101526,0,0,4.43E-06,0,0,0.062419746
101754,0,0,0.118125451,0,0,0.971957322
100998,0,0,0,0,0,0.063179517
100247,0,0,0.043473728,0,0,0.281501986
100726,0,0,0.113557593,5.95E-06,2.83E-10,0.147443913
100556,0,0,0,0,0,0.00178178
100623,0,0,3.33E-06,0,0,0.118963138
100793,0,0,0.000156841,0,0,0.047451468
101714,0,0,3.21E-12,0,0,0.099959778
100093,0,0,0.037732747,2.95E-10,2.22E-16,0.645251063
100378,0,0,0.185169415,0,0,0.800919061
101224,0,0,4.44E-16,0,0,0.010376246
100299,0,0,0.209518041,0,0,0.636433975
100909,0,0,8.14E-07,1.11E-15,0,0.091445262
101044,0,0,5.06E-07,0,0,0.027245472
100511,0,0,0.042290437,0,0,0.664232629
100795,0,0,0.93718342,0,0,0.366763587
101251,0,0,0.057170966,1.89E-15,0,0.036098496
100562,0,0,0.013949801,0,0,0.030232552
100351,0,0,0,0,0,1.81E-08
101249,0,0,0.01971425,0,0,0.722718059
100806,0,0,0.067684932,0,0,0.631339109
101710,0,0,0,0,0,0
100348,0,0,0.002354007,0,0,0.633109402
101644,0,0,0.475423889,0,0,0.381130711
101382,0,0,0,0,0,0.000308407
101668,0,0,0.002578636,0,0,0.017506393
100874,5.06E-07,0,0.126642358,0.437344492,0.099980548,0.352767732
101421,0,0,0.26020382,1.11E-16,0,0.658230714
101414,0,0,0,0,0,0.109681322
101114,0,0,0.532979397,0,0,0.842427417
101369,0,0,0,0,0,1.11E-16
101475,3.27E-10,0,0.364164014,0.003335462,0.000574997,0.130061596
101502,3.92E-05,2.66E-15,0.43434126,0.35668886,0.159495379,0.470309435
100163,0,0,0,0,0,0.020776169
100799,2.52E-09,0,0.200001585,0.222126159,0.074054454,0.520344091
100092,0,0,0.19289844,0,0,0.783070359
100656,0,0,0.721469493,0.00026191,7.83E-07,0.564474796
101608,0,0,0.091608882,7.03E-11,4.44E-16,0.23613955
100984,0,0,0,0,0,0.258851348
100396,0,0,0,0,0,0.045213999
100853,0,0,0.463544475,0,0,0.669965691
100384,0,0,0.001400214,1.83E-05,1.28E-08,0.442439566
101256,0,0,0.340780815,0,0,0.516640141
100224,0,0,0.223721699,1.75E-06,6.09E-10,0.403070882
100191,0,0,0.01044587,0,0,0.061060994
100631,1.40E-09,0,0.034736025,0.004545254,0.000348293,0.345972046
100018,0,0,0,0,0,2.16E-13
101047,0,0,0.278795207,0,0,0.046995419
100714,0,0,9.97E-14,0,0,0.727101667
100015,0,0,0.18611274,0,0,0.046782565
100740,0,0,0.100489858,0,0,0.847227267
101358,0,0,0.48026609,1.60E-06,9.08E-11,0.398183914
101562,0,0,0.060438208,0,0,0.647107745
100515,0,0,0,0,0,0.798793775
101099,0,0,0,0,0,0.010237481
100402,0,0,0.583963691,0,0,0.627256132
100083,0,0,0.67672812,1.58E-13,0,0.682307064
100581,0,0,0,0,0,0.215857105
100409,0,3.91E-13,0.360051118,0.022786974,0.003689871,0.424728435
101435,0,0,1.56E-11,0,0,0.077332724
100884,0,0,0,0,0,0.061853997
101505,0,0,0.021146411,0,0,0.506178682
100911,0,0,7.16E-05,0,0,0.412189731
100393,0,0,9.37E-07,0,0,0.713416467
101145,0,4.47E-09,0.031216737,3.38E-05,6.39E-07,0.231963228
101319,0,0,1.93E-07,1.85E-06,4.04E-10,0.114579982
100551,0,0,0,0,0,0.021994664
100787,0,0,0,0,0,0.639814758
100501,0,0,0.001261858,0,0,0.094475549
101549,0,0,0.004504719,0,0,0.482496974
100721,0,0,0.097340981,0,0,0.676001364
101433,0,0,0.082438279,0,0,0.211491249
100930,0,0,0.859960612,9.66E-15,0,0.929253834
100491,0,0,0.444274347,0,0,0.708649792
100086,1.22E-15,3.53E-08,0.336171911,0.001151783,5.15E-05,0.643149955
101199,0,0,0.431936475,7.77E-16,0,0.51333557
101733,0,0,0,0,0,2.03E-10
100240,0,0,2.54E-06,0,0,0.320498442
100149,7.70E-09,1.11E-16,0.669164115,0.068453061,0.044102088,0.231769938
100537,0,0,0.018022764,0,0,0.174692977
101481,0,0,1.86E-07,0,0,0.619602632
100156,0,0,4.74E-08,0,0,0.31462618
101088,0.0019209,0,0.753452221,0.000430887,3.51E-05,0.228744944
100894,0,0,0.299589666,0,0,0.291380547
101192,0,0,0.649136414,1.43E-05,5.47E-09,0.346804314
101162,0,0,0.316626986,0,0,0.179222121
101449,0,0,0.006879865,0,0,0.080885093
101428,0,0,0.400092252,0,0,0.852747795
100008,6.88E-10,0,0.422893981,0.000596897,7.25E-05,0.296255488
101633,0,0,0.173162016,1.25E-05,1.73E-09,0.701691468
100099,0,0,0,0,0,0
101377,0,0,0.777475837,1.54E-07,4.44E-11,0.610043321
100059,3.33E-16,0,4.47E-09,0,0,0.281861197
101118,0,0,0,0,0,1.09E-05
100785,0,0,0,0,0,0.065783189
100956,0,0,0.061132014,2.11E-15,0,0.212219626
101674,0,0,0.175840513,1.11E-16,0,0.181187235
100039,0,0,0.00389063,0,0,0.065836831
100132,0,0,0,0,0,0.006340309
100298,0,0,0.437260137,2.29E-12,0,0.022251398
101040,0,0,0,0,0,7.42E-05
100554,0,0,0.057897921,0,0,0.825615234
100407,0,0,0.3057307,0,0,0.180011281
101087,0,0,0.203926955,0,0,0.460276371
101140,0,0,2.68E-06,0,0,0.354038523
101622,0,0,0,0,0,0.531014716
100614,0,0,0.661347979,0,0,0.550533292
100899,0,0,1.11E-16,0,0,0.14506536
100518,0,0,0.138592789,2.27E-05,1.26E-06,0.341547395
100227,4.44E-16,0,0.505402082,0.022735122,0.000826208,0.610266415
101362,0,0,0.074874944,0,0,0.019787126
100479,0,0,0.425568792,0,0,0.130785989
101424,0,0,0.304085699,0.005585009,0.000171673,0.462095692
100153,0,0,0.482002444,2.82E-06,2.60E-10,0.794837967
100657,0,0,0,0,0,5.35E-06
101046,0,0,0.033153483,0,0,0.640070566
101402,0,0,0.001238415,0,0,0.871487046
101271,0,0,0,0,0,0.024426714
101573,0,0,0,0,0,1.20E-06
101525,0,0,0,0,0,0.145741414
101361,0,0,0,0,0,0
100705,0,0,0.419008059,0,0,0.110932155
101200,0,0,0,0,0,0
101141,0,0,1.70E-07,0,0,0.230004467
101119,0,0,0,0,0,0.314043524
100487,0,0,0.014879448,3.89E-14,0,0.584021209
100233,0,0,0,0,0,0
100364,0,0,0,0,0,0.31521253
100555,0,0,0,0,0,0
101554,0,0,2.80E-09,0,0,0.195016429
101079,0,0,0.090917303,8.30E-13,0,0.247886759
100323,0,0,0.780359732,0,0,0.992771096
101640,0,0,0.096086679,0,0,0.963738544
101655,0,0,0,0,0,0.004165328
100200,0,0,0,0,0,0.125878097
100847,0,0,0.121723729,0,0,0.621312102
100235,0,0,0.287877487,0,0,0.153762024
100693,0,0,0.056781795,0,0,0.264552894
101683,0,0,0.141045131,0,0,0.155276922
100751,0,0,0.152602147,0,0,0.072098085
101760,0,0,0,0,0,0.261726248
100305,0,0,0,0,0,2.69E-13
101771,0,0,0,0,0,0.001419015
100138,0,0,0.001722966,0,0,0.927261459
100257,0,0,0.149079711,1.75E-06,8.65E-10,0.630712307
100208,0,0,0,0,0,0
101413,0,0,0,0,0,0.573695696
101304,0,0,0,0,0,0
